fecha_publicacion_ta;c1;c2;;enlace_infocomplementaria;;;;;;;enlace_tramites
14-09-2022;;;;https://www.concursosregionantofagasta.cl/web/index.php/__trashed-2/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://www.concursosregionantofagasta.cl/web/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.concursosregionantofagasta.cl/web/index.php/concurso-seguridad-ciudadana-de-caracter-social-y-rehabilitacion-de-drogas-2020/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.goreantofagasta.cl/goreantofagasta/proyectos_interes_regional.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.goreantofagasta.cl/fic/goreantofagasta/2016-11-21/084725.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.concursosregionantofagasta.cl/web/index.php/nuevo-concurso-cultura-2020/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.goreantofagasta.cl/renueva-tu-colectivo/goreantofagasta/2016-11-18/182746.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.goreantofagasta.cl/renueva-tu-micro/goreantofagasta/2016-11-18/153125.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://drive.google.com/file/d/1XER0H8Ba3R0cEPMc7Xy9LqA6Tg5Uy3H0/view?usp=sharing target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=0640289311b0c61d1a25123d1964fded target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.educatransparencia.cl/curso/ley-del-lobby-ndeg-20730 target=_blankEnlace/a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrgTa=AB078 target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrgTa=AB078 target=_blankEnlace/a
14-09-2022;;;;https://goreatacama.gob.cl/concursos-fndr-2020/ target=_blankEnlace/a;;;;;;;http://www.fondos.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;https://goreatacama.gob.cl/concursos-fndr-2020/ target=_blankEnlace/a;;;;;;;https://www.goreatacama.cl/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://fndr2.gorecoquimbo.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.gorecoquimbo.cl/buzonciudadano/ target=_blankEnlace/a
14-09-2022;;;;https://www.gorecoquimbo.cl/concurso-fic-r-2019/gorecoquimbo/2015-05-14/135106.html target=_blankEnlace/a;;;;;;;http://fic.gorecoquimbo.cl:8081/login target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://190.54.52.12/buzon/formularioContactoGoreV.php target=_blankEnlace/a
14-09-2022;;;;http://190.54.52.12/fndr6/bases.php target=_blankEnlace/a;;;;;;;http://190.54.52.12/fndr6/postulacion2/index.php target=_blankEnlace/a
14-09-2022;;;;http://www.educatransparencia.cl/noticias/informacion-sobre-ley-del-lobby-ndeg20730 target=_blankEnlace/a;;;;;;;https://www.leylobby.gob.cl/instituciones/Ab080 target=_blankEnlace/a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=833#tips-view-proc target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=c748ed5d810ca9730dae423f51a3bc32 target=_blankEnlace/a
14-09-2022;;;;https://www.gobiernosantiago.cl/fic target=_blankEnlace/a;;;;;;;https://www.gobiernosantiago.cl/fic target=_blankEnlace/a
14-09-2022;;;;http://seisporciento.gobiernosantiago.cl/ target=_blankEnlace/a;;;;;;;http://seisporciento.gobiernosantiago.cl/ target=_blankEnlace/a
14-09-2022;;;;http://www.goreohiggins.cl/ target=_blankEnlace/a;;;;;;;http://www.goreohiggins.cl/fndr/fril target=_blankEnlace/a
14-09-2022;;;;http://www.goreohiggins.cl/component/content/article/1 target=_blankEnlace/a;;;;;;;http://www.goreohiggins.cl/component/content/article/1 target=_blankEnlace/a
14-09-2022;;;;http://www.goreohiggins.cl/fndr/fic target=_blankEnlace/a;;;;;;;http://www.goreohiggins.cl/fndr/fic target=_blankEnlace/a
14-09-2022;;;;http://www.goreohiggins.cl/fndr/6-cultura-deporte-seguridad target=_blankEnlace/a;;;;;;;http://www.goreohiggins.cl/fndr/6-cultura-deporte-seguridad target=_blankEnlace/a
14-09-2022;;;;https://www.leylobby.gob.cl/instituciones/AB082 target=_blankEnlace/a;;;;;;;https://www.leylobby.gob.cl/instituciones/AB082 target=_blankEnlace/a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=99c759f4a64f4316883cb105c85a8fd6 target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=99c759f4a64f4316883cb105c85a8fdhttps://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=99c759f4a64f4316883cb105c85a8fd6 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://contacto.goremaule.cl/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=Subvenciones target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=FIC target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=Glosas target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=Circular33 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=FRIL target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.maulepro.com/gore/portal/info?tab=MIDESO target=_blankEnlace/a
14-09-2022;;;;https://www.consejotransparencia.cl/ target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=966 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.leylobby.gob.cl/instituciones/AB083 target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=fndr62021&no_cache=1 target=_blankEnlace/a;;;;;;;https://www.gorearaucania.cl/index.php?id=fndr62021&no_cache=1 target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=fndr62021&no_cache=1 target=_blankEnlace/a;;;;;;;https://www.gorearaucania.cl/index.php?id=fndr62021&no_cache=1 target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=1212 target=_blankEnlace/a;;;;;;;http://www.gorearaucania.cl/transparencia/2021/Documentos/Res_Ex/2217.pdf target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=fndr621&no_cache=1 target=_blankEnlace/a;;;;;;;https://www.gorearaucania.cl/index.php?id=fndr621&no_cache=1 target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=fndr621&no_cache=1 target=_blankEnlace/a;;;;;;;https://www.gorearaucania.cl/index.php?id=fndr621&no_cache=1 target=_blankEnlace/a
14-09-2022;;;;http://www.gorearaucania.cl/index.php?id=1188 target=_blankEnlace/a;;;;;;;http://www.gorearaucania.cl/index.php?id=1188 target=_blankEnlace/a
14-09-2022;;;;http://www.gorearaucania.cl/index.php?id=1188 target=_blankEnlace/a;;;;;;;http://www.gorearaucania.cl/index.php?id=1188 target=_blankEnlace/a
14-09-2022;;;;https://www.gorearaucania.cl/index.php?id=fndr6&no_cache=1 target=_blankEnlace/a;;;;;;;https://www.gorearaucania.cl/index.php?id=fndr6&no_cache=1 target=_blankEnlace/a
14-09-2022;;;;https://www.goredelosrios.cl/index.php/renueva-tu-colectivo/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://www.ficlosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.goredelosrios.cl/index.php/programa-renueva-tu-micro/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://subvenciones.goredelosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://subvenciones.goredelosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://subvenciones.goredelosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://subvenciones.goredelosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://subvenciones.goredelosrios.cl target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://www.goreaysen.cl/controls/neochannels/neo_ch182/neochn182.aspx target=_blankEnlace/a;;;;;;;http://fondos.goreaysen.cl/tramites/disponibles target=_blankEnlace/a
14-09-2022;;;;http://www.goreaysen.cl/controls/neochannels/neo_ch120/neochn120.aspx target=_blankEnlace/a;;;;;;;http://fondos.goreaysen.cl/tramites/disponibles target=_blankEnlace/a
14-09-2022;;;;http://www.goreaysen.cl/controls/neochannels/neo_ch208/neochn208.aspx target=_blankEnlace/a;;;;;;;http://fondos.goreaysen.cl/tramites/disponibles target=_blankEnlace/a
14-09-2022;;;;http://www.goreaysen.cl/controls/neochannels/neo_ch119/neochn119.aspx target=_blankEnlace/a;;;;;;;http://fondos.goreaysen.cl/tramites/disponibles target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=58450 target=_blankwww.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=58450/a
14-09-2022;;;;Sin informacion;;;;;;;http://sistemas.senda.gob.cl/hesk/ target=_blanksistemas.senda.gob.cl/hesk//a
14-09-2022;;;;Sin informacion;;;;;;;http://www.leylobby.gob.cl/instituciones/AB092 target=_blankwww.leylobby.gob.cl/instituciones/AB092/a
14-09-2022;;;;https://www.senda.gob.cl/prevencion/iniciativas/prevencion-en-espacios-laborales/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.senda.gob.cl/prevencion/iniciativas/prevencion-en-espacios-laborales/ target=_blankEnlace/a;;;;;;;https://www.senda.gob.cl/inscripcion-trabaja-con-calidad-de-vida-grandes-y-medianas-empresas/ target=_blankEnlace/a
14-09-2022;;;;https://www.senda.gob.cl/prevencion/cursos/prevencion-del-consumo-de-alcohol-y-otras-drogas-para-todo-el-ciclo-escolar/ target=_blankEnlace/a;;;;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://www.bibliodrogas.gob.cl/ target=_blankwww.bibliodrogas.gob.cl/a
14-09-2022;;;;Sin informacion;;;;;;;No tiene
14-09-2022;;;;Sin informacion;;;;;;;http://www.bibliodrogas.gob.cl:8000/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://sistemas.senda.gob.cl/hesk/ target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=f5f7bc24eef66b093bbfaac0ee6c3fef target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.leylobby.gob.cl/instituciones/AB092 target=_blankEnlace/a
14-09-2022;;;;https://www.senda.gob.cl/prevencion/iniciativas/prevencion-escolar/ target=_blankEnlace/a;;;;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a;;;;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a;;;;;;;https://cursos.senda.gob.cl/ target=_blankEnlace/a
14-09-2022;;;;https://www.senda.gob.cl/prevencion/iniciativas/prevencion-en-espacios-laborales/trabajar-con-calidad-de-vida/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://cursos.senda.gob.cl target=_blankEnlace/a;;;;;;;http://cursos.senda.gob.cl target=_blankEnlace/a
14-09-2022;;;;http://cursos.senda.gob.cl target=_blankEnlace/a;;;;;;;http://cursos.senda.gob.cl target=_blankEnlace/a
14-09-2022;;;;http://www.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida/intervenciones-del-programa-trabajar-con-calidad-de-vida/ target=_blankEnlace/a;;;;;;;http://www.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida/intervenciones-del-programa-trabajar-con-calidad-de-vida/ target=_blankEnlace/a
14-09-2022;;;;http://www.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida/ target=_blankwww.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida//a;;;;;;;http://www.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida/inscripcion-tcv/ target=_blankwww.senda.gob.cl/prevencion/en-espacios-laborales/trabajar-con-calidad-de-vida/inscripcion-tcv//a
14-09-2022;;;;http://www.senda.gob.cl/prevencion/en-establecimientos-educacionales/continuo-preventivo/ target=_blankEnlace/a;;;;;;;http://cursos.senda.gob.cl target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://www.goredenuble.cl/content/gu%C3%ADas-operativas-y-manuales-2021 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=329654 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.leylobby.gob.cl/instituciones/AB098 target=_blankEnlace/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankPágina Gobierno Regional de Ñuble/a;;;;;;;http://www.goredenuble.cl/content/instructivos target=_blankDescarga de instructivos/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankPágina Gobierno Regional de Ñuble/a;;;;;;;http://www.goredenuble.cl/content/instructivos target=_blankDescarga de instructivos/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankPágina Gobierno Regional de Ñuble/a;;;;;;;http://www.goredenuble.cl/content/instructivos target=_blankDescarga de instructivos/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankPágina Gobierno Regional de Ñuble/a;;;;;;;http://www.goredenuble.cl/content/instructivos target=_blankDescarga de instructivos/a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AB098 target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AB098 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://www.goredenuble.cl/content/gu%C3%ADas-operativas-y-manuales-2021 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;http://www.goredenuble.cl/content/gu%C3%ADas-operativas-y-manuales-2021 target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.goredenuble.cl/content/seguridad-ciudadana target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.goredenuble.cl/content/social target=_blankEnlace/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankEnlace/a;;;;;;;http://www.goredenuble.cl/sites/default/files/documentos/Propuesta Instructivo Social y AM. INSTITUCIONES PRIVADAS SIN FINES DE LUCRO %282%29.pdf target=_blankEnlace/a
14-09-2022;;;;http://www.goredenuble.cl/ target=_blankEnlace/a;;;;;;;http://www.goredenuble.cl/sites/default/files/documentos/Instructivo Social y AM. Pu%CC%81blicos.pdf target=_blankEnlace/a
14-09-2022;;;;http://www.apuntesinternacionales.cl/biblioteca/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://www.minrel.gov.cl/biblioarchivo/site/edic/base/port/biblioteca.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;http://www.minrel.gov.cl/biblioarchivo/site/edic/base/port/biblioteca.html target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://minrel.gob.cl/transparencia/archivos/PUBLICACION DIARIO OFICIAL COSTO DE VIDA 2018.pdf target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;Sin informacion;;;;;;;No tiene
14-09-2022;;;;https://www.minrel.gob.cl/minrel/ministerio/gestion-publica/oficinas-de-informaciones-reclamos-y-sugerencias target=_blankEnlace/a;;;;;;;https://www.minrel.gob.cl/minrel/ministerio/gestion-publica/oficinas-de-informaciones-reclamos-y-sugerencias target=_blankEnlace/a
14-09-2022;;;;https://minrel.gob.cl/transparencia/archivos/TABLA DE VIATICOS 2018 decreto 275 de 2017.pdf target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;;;;https://www.fach.mil.cl/soldado/index.html target=_blankEnlace/a;;;;;;;https://www.fach.mil.cl/soldado/index.html target=_blankEnlace/a
14-09-2022;;;;http://www.escueladeespecialidades.cl/ target=_blankEnlace/a;;;;;;;http://www.escueladeespecialidades.cl/ target=_blankEnlace/a
14-09-2022;;;;http://www.escueladeaviacion.cl/ target=_blankEnlace/a;;;;;;;http://www.escueladeaviacion.cl/ target=_blankSí/a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+reintegro+de+gastos+m%C3%A9dicos+por+Accidente+en+Actos+del+Servicio+con+Formulario.pdf/c95ddb58-c349-471a-ba0e-e0143a78ae8a?version=1.0 target=_blankFicha de Trámite - Accidente en Acto del Servicio/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5351_Solicitud_de_Afiliacion_al_Seguro_Complementario_de_Salud.pdf/89d3d41e-b528-4e75-89a1-f146335fcfe2 target=_blank5351_Solicitud_de_Afiliacion_al_Seguro_Complementario_de_Salud/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+cese+de+carga+familiar.pdf/95bfc3c5-eb74-4b59-8045-156e3bf47dec?version=1.0 target=_blankFicha de Trámite - Cese de carga Familiar/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5353_Solicitud_de_Desafiliacion_al_Seguro_Complementario_de_Salud.pdf/6695fa4b-2fd9-420f-aa2f-445eb0d85ce6 target=_blank5353_Solicitud_de_Desafiliacion_al_Seguro_Complementario_de_Salud/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+devoluci%C3%B3n+de+Imposiciones+Art%C2%B0%20127.pdf/b73abfd1-735e-42bc-8c2b-27b43483b6b5?version=1.0 target=_blankFicha de Trámite - Solicitud de devolución de Imposiciones Art 127/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+Intervenci%C3%B3n+Social.pdf/622dbc97-b948-4f28-bc9f-db017c8e41ff?version=1.0 target=_blankFicha de Trámite - Solicitud de Intervención Social/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Emisi%C3%B3n+de+Bonos+de+Atenci%C3%B3n+de+Salud+en+Regiones.pdf_1513365743047/19891a11-8816-438a-806e-e780d5bb96f8?version=1.0 target=_blankFicha de Trámite - Emisión de Bonos de Atención de Salud en Regiones/a;;;;;;;http://www.dipreca.cl/virtual/inicio/inicio2/SERVICIOS/imponentesonline/bono_institu/validar.asp target=_blankLink Emisión de Bonos./a
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Bono+de+atenci%C3%B3n+m%C3%A9dica+de+Dipreca.pdf/e1725a45-fa19-4558-b303-a3e2f9c50668?version=1.0 target=_blankFicha de Trámite - Bono de Atención Médica DIPRECA/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+pago+de+Imposiciones+Previsionales+por+permiso+sin+goce+de+sueldo.pdf/a2823e46-57c3-44f5-9c36-b973dd3aa9b3?version=1.0 target=_blankFicha de Trámite - Solicitud de pago de Imposiciones Previsionales por permiso sin goce de sueldo/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Pensi%C3%B3n+de+Alimentos.pdf_1513366229083/1b946204-990b-456a-b671-a3c0076fa4de?version=1.0 target=_blankFicha de Trámite - Pensión de Alimentos/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+Reconocimiento+de+carga+familiar+NN.pdf/f9b227bc-6113-4696-adc3-798bda3fff5d?version=1.0 target=_blankFicha de Trámite - Solicitud de Reconocimiento de carga familiar NN/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5332+Solicitud+de+Reconocimiento+de+los+2+%C3%BAltimos+a%C3%B1os+universitarios.pdf/952ad04a-8660-400f-b17d-483225514240?version=1.0 target=_blankFicha de Trámite - Solicitud de Reconocimiento de los 2 últimos años universitarios/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5338+Solicitud+de+Devoluci%C3%B3n+de+gastos+m%C3%A9dicos.pdf/fd42a5ff-3704-42e6-87a2-5eb9bb5eb4f7?version=1.0 target=_blankFicha de Trámite - Solicitud de Devolución de gastos médicos/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5355+Solicitud+de+reintegro+por+concepto+de+Seguro+Complementario+de+Salud.pdf/5c79d7d9-6d9d-4cf3-b782-124e14fd9cbc?version=1.0 target=_blankFicha de Trámite - Solicitud de reintegro por concepto de Seguro Complementario de Salud/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/5347+Solicitud+de+reliquidaci%C3%B3n+de+descuentos+asociados+por+prestaciones+de+Salud.pdf/ef7b5b0f-da35-431a-8812-2146c71aa000?version=1.0 target=_blankFicha de Trámite - Solicitud de reliquidación de descuentos asociados por prestaciones de Salud/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+Reliquidaci%C3%B3n+de+Pensi%C3%B3n+de+Montep%C3%ADo+%28incluye+o+acrece%29%20de+Gendarmer%C3%ADa+y+Dipreca.pdf/612022df-d8ff-412c-83a2-d0f95004ecd5?version=1.0 target=_blankFicha de Trámite - Solicitud de Reliquidación de Pensión de Montepío (incluye o acrece) de Gendarmería y Dipreca/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+Reliquidaci%C3%B3n+de+la+Pensi%C3%B3n+de+Retiro+de+Gendarmer%C3%ADa+y+-+o++Dipreca.pdf/6bb0c882-6f58-462a-be52-af4795f71ecc?version=1.0 target=_blankFicha de Trámite - Solicitud de Reliquidación de la Pensión de Retiro/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+carn%C3%A9%20de+medicina+curativa+%28CMC%29.pdf/b7078f9a-c15c-419c-bc9a-f93b98f7e2ef?version=1.0 target=_blankFicha de Trámite - Solicitud Acreditativo de Salud (CMC)/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitud+de+Pago+anticipado+de+la+pensi%C3%B3n+de+retiro+o+montep%C3%ADo+DIPRECA.pdf/857b7dc1-d484-4651-a8f2-fb0711f43e5d?version=1.0 target=_blankFicha de Trámite - Solicitud Anticipo de Pensión/a;;;;;;;No tiene
14-09-2022;;;;https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/Solicitar+la+apertura+de+una+Chequera+Electr%C3%B3nica.pdf/a5e2d3e3-9dbc-4de8-a4ab-6de91bc44fd9?version=1.0 target=_blankFicha de Trámite - Solicitud de Apertura Chequera Electrónica/a;;;;;;;No tiene
