Codigo_org;idOrg;Codigo_padre;Region;Municipalidad;url_sai;Ingresa;obligadorecibir_sai;tiene_ta
UN017;58901;UN000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://www.uaysen.cl/;INGRESA;SI;SI
AB088;971;AB000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://goreaysen.transparencia.cl/;INGRESA;SI;SI
CM198;6773;CM000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://;INGRESA;SI;SI
MU129;570;MU000;Region de Aysen del General Carlos Ibanez del Campo;LAGO VERDE;http://www.lagoverdeaysen.cl/transparencia/solicitudelectronica.php;INGRESA;SI;SI
CM144;6719;CM000;Region de Aysen del General Carlos Ibanez del Campo;AYSEN;http://;NO INGRESA;SI;NO
MU013;473;MU000;Region de Aysen del General Carlos Ibanez del Campo;AYSEN;http://transparencia.puertoaysen.cl/solicitudinformacion/;NO INGRESA;SI;SI
AB062;816;AB000;Region de Aysen del General Carlos Ibanez del Campo;AYSEN;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
EP015;1108;EP000;Region de Aysen del General Carlos Ibanez del Campo;AYSEN;http://;NO INGRESA;NO;NO
MU047;500;MU000;Region de Aysen del General Carlos Ibanez del Campo;CISNES;http://municipalidadcisnes.cl/solicitud_de_informacion.php;INGRESA;SI;SI
CM208;6783;CM000;Region de Aysen del General Carlos Ibanez del Campo;GUAITECAS;http://;NO INGRESA;SI;NO
MU101;548;MU000;Region de Aysen del General Carlos Ibanez del Campo;GUAITECAS;http://www.muniguaitecas.cl/transparencia-pasiva/;INGRESA;SI;SI
CM265;6840;CM000;Region de Aysen del General Carlos Ibanez del Campo;GUAITECAS;http://;NO INGRESA;SI;NO
AB064;818;AB000;Region de Aysen del General Carlos Ibanez del Campo;COCHRANE;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU050;503;MU000;Region de Aysen del General Carlos Ibanez del Campo;COCHRANE;http://www.cochranepatagonia.cl/cms/index.php?option=com_content&view=article&id=489&Itemid=178;INGRESA;SI;SI
MU187;621;MU000;Region de Aysen del General Carlos Ibanez del Campo;OHIGGINS;http://www.municipalidadohiggins.cl/wp-content/uploads/2013/06/Formulario-Solicitud-de-Informacion.pdf;INGRESA;SI;SI
CM118;6693;CM000;Region de Aysen del General Carlos Ibanez del Campo;TORTEL;http://;NO INGRESA;SI;NO
MU326;741;MU000;Region de Aysen del General Carlos Ibanez del Campo;TORTEL;http://www.municipalidaddetortel.cl/ley_transparecia.html;INGRESA;SI;SI
AB063;817;AB000;Region de Aysen del General Carlos Ibanez del Campo;CHILE CHICO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU041;494;MU000;Region de Aysen del General Carlos Ibanez del Campo;CHILE CHICO;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados;INGRESA;SI;SI
MU273;696;MU000;Region de Aysen del General Carlos Ibanez del Campo;RIO IBANEZ;http://www.rioibanez.cl/formulariotransparencia.pdf;INGRESA;SI;SI
MA039;327500;ASOC;Region de Aysen del General Carlos Ibanez del Campo;RIO IBANEZ;http://;NO INGRESA;SI;SI
CF013;6807;CF000;Region de Aysen del General Carlos Ibanez del Campo;;http://;NO INGRESA;SI;NO
AB089;972;AB000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://www.goremagallanes.cl/sitioweb/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AC005;977;AC000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://Inach.transparencia.cl;INGRESA;SI;SI
AB066;820;AB000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB015;NO INGRESA;SI;NO
CF010;331550;CF000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://;INGRESA;SI;SI
CM241;6816;CM000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://;NO INGRESA;SI;NO
AO082;913;AO000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://hcm.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB015;769;AB000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
CM046;58872;CM000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=58872;INGRESA;SI;SI
AP014;953;AP000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://solicitudinformacion.minvu.cl/;INGRESA;SI;SI
CM085;6660;CM000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://;NO INGRESA;SI;NO
MU239;667;MU000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://www.puntaarenas.cl/OIRS/;INGRESA;SI;SI
AO038;892;AO000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://transparencia.redsalud.gov.cl/transparencia/public/ssmagallanes/solicitud_informacion.htm;INGRESA;SI;SI
AO053;56353;AO000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://srmma.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
MA019;327601;ASOC;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://;NO INGRESA;SI;SI
UN016;1078;UN000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://analisis.umag.cl/transparencia/solicitud_informacion.php;INGRESA;SI;NO
AP034;331465;AP000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1057;INGRESA;SI;SI
EP014;1107;EP000;Region de Magallanes y de la Antartica Chilena;PUNTA ARENAS;http://;NO INGRESA;NO;NO
MU130;571;MU000;Region de Magallanes y de la Antartica Chilena;LAGUNA BLANCA;http://www.lagunablancatransparente.com;INGRESA;SI;SI
MU275;698;MU000;Region de Magallanes y de la Antartica Chilena;RIO VERDE;http://www.rioverde.cl/newsite/index.php?option=com_forme&fid=4;INGRESA;SI;SI
MU288;708;MU000;Region de Magallanes y de la Antartica Chilena;SAN GREGORIO;http://solicitud.sangregorio.cl/;INGRESA;SI;SI
MU017;475;MU000;Region de Magallanes y de la Antartica Chilena;CABO DE HORNOS;http://www.imcabodehornos.cl/index.php?option=com_chronoforms&chronoform=Transparencia_Activa;INGRESA;SI;SI
AB068;822;AB000;Region de Magallanes y de la Antartica Chilena;CABO DE HORNOS;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
AB067;821;AB000;Region de Magallanes y de la Antartica Chilena;PORVENIR;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU225;654;MU000;Region de Magallanes y de la Antartica Chilena;PORVENIR;http://www.muniporvenir.cl/Transparencia/FormularioSolInformacion.docx;INGRESA;SI;SI
CM188;6763;CM000;Region de Magallanes y de la Antartica Chilena;PORVENIR;http://;NO INGRESA;SI;NO
MU227;656;MU000;Region de Magallanes y de la Antartica Chilena;PRIMAVERA;http://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=656;INGRESA;SI;SI
MU320;735;MU000;Region de Magallanes y de la Antartica Chilena;TIMAUKEL;http://www.municipalidadtimaukel.cl;INGRESA;SI;SI
AB065;819;AB000;Region de Magallanes y de la Antartica Chilena;NATALES;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU234;663;MU000;Region de Magallanes y de la Antartica Chilena;NATALES;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?org=MU234;INGRESA;SI;SI
CM240;6815;CM000;Region de Magallanes y de la Antartica Chilena;NATALES;http://;NO INGRESA;SI;NO
CM173;6748;CM000;Region de Magallanes y de la Antartica Chilena;NATALES;http://;NO INGRESA;SI;NO
CM186;6761;CM000;Region de Magallanes y de la Antartica Chilena;NATALES;http://;NO INGRESA;SI;NO
CM045;58871;CM000;Region de Magallanes y de la Antartica Chilena;NATALES;http://;NO INGRESA;SI;NO
MU325;740;MU000;Region de Magallanes y de la Antartica Chilena;TORRE DEL PAINE;http://www.torresdelpayne.cl/index.php?option=com_contact&view=contact&id=10&Itemid=115;INGRESA;SI;SI
AE032;331600;AE000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;NO;SI
BC003;329352;BC000;Region Metropolitana de Santiago;SANTIAGO;http://contacto.dibam.cl/?tipoF=t;INGRESA;SI;SI
AE033;342800;AE000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;SI;SI
AL005;1030;AL000;Region Metropolitana de Santiago;SANTIAGO;http://gobiernotransparente.ips.gob.cl/solicitud_informacion.html;INGRESA;SI;SI
AQ001;957;AQ000;Region Metropolitana de Santiago;SANTIAGO;http://old.bienes.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
PP054;329150;PP000;Region Metropolitana de Santiago;SANTIAGO;http://;NO INGRESA;NO;SI
AI001;846;AI000;Region Metropolitana de Santiago;SANTIAGO;http://sgs.ministeriodesarrollosocial.gob.cl/;INGRESA;SI;SI
AH011;845;AH000;Region Metropolitana de Santiago;SANTIAGO;http://www.economia.gob.cl/transparencia/turismo/solicitud_informacion.html;INGRESA;SI;SI
AK005;1022;AK000;Region Metropolitana de Santiago;SANTIAGO;http://dpp.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AL008;1033;AL000;Region Metropolitana de Santiago;SANTIAGO;http://www.spensiones.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AT001;1066;BB000;Region Metropolitana de Santiago;SANTIAGO;http://sernam.transparencia.cl;INGRESA;SI;SI
AD013;980;AD000;Region Metropolitana de Santiago;SANTIAGO;http://www.dgmn.cl/transparencia/solici_ley_transparencia.html;INGRESA;SI;SI
AJ009;1017;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://junaeb.transparencia.cl/etapas/ejecutar/68674/1;INGRESA;SI;SI
AC003;975;AC000;Region Metropolitana de Santiago;SANTIAGO;http://www.difrol.gob.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AO002;863;AO000;Region Metropolitana de Santiago;SANTIAGO;http://transparencia.redsalud.gov.cl/transparencia/public/ssp/solicitud_informacion.html;INGRESA;SI;SI
AE008;991;AE000;Region Metropolitana de Santiago;SANTIAGO;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=b66b4f60efa5e25a62b0af6a514f4f88;NO INGRESA;SI;SI
AK012;327151;AK000;Region Metropolitana de Santiago;SANTIAGO;http://;INGRESA;SI;SI
AO070;908;AO000;Region Metropolitana de Santiago;SANTIAGO;http://webhosting.redsalud.gov.cl/transparencia/?id=AO070;INGRESA;SI;SI
AK006;857;AK000;Region Metropolitana de Santiago;SANTIAGO;http://genchi.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AJ005;1015;AJ000;Region Metropolitana de Santiago;SANTIAGO;http://contacto.dibam.cl/?tipoF=t;NO INGRESA;NO;NO
AG001;996;AG000;Region Metropolitana de Santiago;SANTIAGO;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AG001;INGRESA;SI;SI
AH001;999;AH000;Region Metropolitana de Santiago;SANTIAGO;http://www.economia.gob.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
