organismo_codigo;fecha_publicacion;anyo;mes;fecha;activado;descripcion
CM001;08-11-2021;2020;Septiembre;30-09-2020;SI;PASIVOS SALUD
CM001;08-11-2021;2020;Agosto;30-08-2020;SI;PASIVOS SALUD
CM001;08-11-2021;2020;Julio;31-07-2020;SI;PASIVOS SALUD
CM001;08-11-2021;2020;Junio;30-06-2020;SI;PASIVOS SALUD
CM001;08-11-2021;2020;Mayo;31-05-2020;SI;PASIVOS SALUD
CM001;08-11-2021;2019;Diciembre;30-12-2019;SI;PASIVOS SALUD
CM001;08-11-2021;2019;Noviembre;30-11-2019;SI;PASIVOS SALUD
CM001;08-11-2021;2019;Octubre;31-10-2019;SI;PASIVOS SALUD
CM001;08-11-2021;2017;Octubre;30-10-2017;SI;PASIVOS OCTUBRE 2017
CM002;02-11-2021;2021;Septiembre;30-09-2021;SI;INFORME PASIVOS CMDS SEPTIEMBRE 2021.
CM002;02-11-2021;2021;Agosto;31-08-2021;SI;INFORME PASIVOS CMDS AGOSTO 2021.
CM002;02-11-2021;2021;Julio;31-07-2021;SI;INFORME PASIVOS CMDS JULIO 2021.
CM002;02-11-2021;2021;Junio;30-06-2021;SI;INFORME PASIVOS CMDS JUNIO 2021.
CM002;02-11-2021;2021;Mayo;31-05-2021;SI;INFORME PASIVOS CMDS MAYO 2021.
CM002;02-11-2021;2021;Abril;30-04-2021;SI;INFORME PASIVOS CMDS ABRIL 2021.
CM002;02-11-2021;2021;Marzo;31-03-2021;SI;INFORME PASIVOS CMDS MARZO 2021.
CM002;02-11-2021;2021;Febrero;28-02-2021;SI;INFORME PASIVOS CMDS FEBRERO 2021.
CM002;02-11-2021;2021;Enero;31-01-2021;SI;INFORME PASIVOS CMDS ENERO 2021.
CM002;02-11-2021;2020;Diciembre;31-12-2020;SI;INFORME PASIVOS CMDS DICIEMBRE 2020.
CM002;02-11-2021;2020;Noviembre;30-11-2020;SI;INFORME PASIVOS CMDS NOVIEMBRE 2020.
CM002;02-11-2021;2020;Octubre;31-10-2020;SI;INFORME PASIVOS CMDS OCTUBRE 2020.
CM002;02-11-2021;2020;Septiembre;30-09-2020;SI;INFORME PASIVOS CMDS SEPTIEMBRE 2020.
CM002;02-11-2021;2020;Agosto;31-08-2020;SI;INFORME PASIVOS CMDS AGOSTO 2020.
CM002;02-11-2021;2020;Julio;31-07-2020;SI;INFORME PASIVOS CMDS JULIO 2020.
CM002;02-11-2021;2020;Junio;30-06-2020;SI;INFORME PASIVOS CMDS JUNIO 2020.
CM002;02-11-2021;2020;Mayo;31-05-2020;SI;INFORME PASIVOS CMDS MAYO 2020.
CM002;02-11-2021;2020;Abril;30-04-2020;SI;INFORME PASIVOS CMDS ABRIL 2020.
CM002;02-11-2021;2020;Marzo;31-03-2020;SI;INFORME PASIVOS CMDS MARZO 2020.
CM002;02-11-2021;2020;Febrero;29-02-2020;SI;INFORME PASIVOS CMDS FEBRERO 2020.
CM002;02-11-2021;2020;Enero;31-01-2020;SI;INFORME PASIVOS CMDS ENERO 2020.
CM002;02-11-2021;2019;Diciembre;31-12-2019;SI;INFORME PASIVOS CMDS DICIEMBRE 2019
CM002;02-11-2021;2019;Noviembre;30-11-2019;SI;INFORME PASIVOS CMDS NOVIEMBRE 2019
CM002;02-11-2021;2019;Octubre;31-10-2019;SI;INFORME PASIVOS CMDS OCTUBRE 2019
CM002;02-11-2021;2019;Septiembre;30-09-2019;SI;INFORME PASIVOS CMDS SEPTIEMBRE 2019
CM002;02-11-2021;2019;Agosto;31-08-2019;SI;INFORME PASIVOS CMDS AGOSTO 2019.
CM002;02-11-2021;2019;Julio;31-07-2019;SI;INFORME PASIVOS CMDS JULIO 2019.
CM002;02-11-2021;2019;Junio;30-06-2019;SI;INFORME PASIVOS CMDS JUNIO 2019.
CM002;02-11-2021;2019;Mayo;31-05-2019;SI;INFORME PASIVOS CMDS MAYO 2019.
CM002;02-11-2021;2019;Abril;30-04-2019;SI;INFORME PASIVOS CMDS ABRIL 2019.
CM002;02-11-2021;2019;Marzo;31-03-2019;SI;INFORME PASIVOS CMDS MARZO 2019.
CM002;02-11-2021;2019;Febrero;28-02-2019;SI;INFORME PASIVOS CMDS FEBRERO 2019.
CM002;02-11-2021;2019;Enero;31-01-2019;SI;INFORME PASIVOS CMDS ENERO 2019.
CM002;02-11-2021;2017;Diciembre;31-12-2017;SI;INFORME PASIVOS CMDS DICIEMBRE 2017.
CM002;02-11-2021;2017;Noviembre;30-11-2017;SI;INFORME PASIVOS CMDS NOVIEMBRE 2017.
CM002;02-11-2021;2017;Octubre;31-10-2017;SI;INFORME PASIVOS CMDS OCTUBRE 2017.
CM002;02-11-2021;2017;Septiembre;30-09-2017;SI;INFORME PASIVOS CMDS SEPTIEMBRE 2017.
CM002;02-11-2021;2017;Agosto;31-08-2017;SI;INFORME PASIVOS CMDS AGOSTO 2017.
CM002;02-11-2021;2017;Julio;31-07-2017;SI;INFORME PASIVOS CMDS JULIO 2017.
CM002;02-11-2021;2017;Junio;30-06-2017;SI;INFORME PASIVOS CMDS JUNIO 2017.
CM002;02-11-2021;2017;Mayo;31-05-2017;SI;INFORME PASIVOS CMDS MAYO 2017.
CM002;02-11-2021;2017;Abril;30-04-2017;SI;INFORME PASIVOS CMDS ABRIL 2017.
CM002;02-11-2021;2017;Marzo;31-03-2017;SI;INFORME PASIVOS CMDS MARZO 2017
CM002;02-11-2021;2017;Febrero;28-02-2017;SI;INFORME PASIVOS CMDS FEBRERO 2017.
CM002;02-11-2021;2017;Enero;31-01-2017;SI;INFORME PASIVOS CMDS ENERO 2017.
CM002;02-11-2021;2015;Diciembre;01-01-2016;SI;INFORME 4TO TRIMESTRE 2015 PASIVOS C.M.D.S. (OCTUBREDICIEMBRE)
CM002;02-11-2021;2015;Septiembre;01-10-2015;SI;INFORME 3ER TRIMESTRE 2015 PASIVOS C.M.D.S. (JULIOSEPTIEMBRE)
CM002;02-11-2021;2015;Junio;01-07-2015;SI;INFORME 2DO TRIMESTRE 2015 PASIVOS C.M.D.S. (ABRILJUNIO)
CM002;02-11-2021;2015;Marzo;01-04-2015;SI;INFORME 1ER TRIMESTRE 2015 PASIVOS C.M.D.S. (ENEROMARZO)
CM002;02-11-2021;2016;Diciembre;13-01-2017;SI;INFORME 4TO TRIMESTRE 2016 PASIVOS C.M.D.S. (OCTUBREDICIEMBRE).
CM002;02-11-2021;2016;Septiembre;03-10-2016;SI;INFORME 3ER TRIMESTRE 2016 PASIVOS C.M.D.S. (JULIOSEPTIEMBRE).
CM002;02-11-2021;2016;Junio;06-07-2016;SI;INFORME 2DO TRIMESTRE 2016 PASIVOS C.M.D.S. (ABRILJUNIO).
CM002;02-11-2021;2016;Marzo;11-04-2016;SI;INFORME 1ER TRIMESTRE 2016 PASIVOS C.M.D.S. (ENEROMARZO).
CM002;02-11-2021;2018;Diciembre;31-12-2018;SI;INFORME PASIVOS CMDS DICIEMBRE 2018.
CM002;02-11-2021;2018;Noviembre;30-11-2018;SI;INFORME PASIVOS CMDS NOVIEMBRE 2018.
CM002;02-11-2021;2018;Octubre;31-10-2018;SI;INFORME PASIVOS CMDS OCTUBRE 2018.
CM002;02-11-2021;2018;Septiembre;30-09-2018;SI;INFORME PASIVOS CMDS SEPTIEMBRE 2018.
CM002;02-11-2021;2018;Agosto;31-08-2018;SI;INFORME PASIVOS CMDS AGOSTO 2018.
CM002;02-11-2021;2018;Julio;31-07-2018;SI;INFORME PASIVOS CMDS JULIO 2018
CM002;02-11-2021;2018;Junio;30-06-2018;SI;INFORME PASIVOS CMDS JUNIO 2018
CM002;02-11-2021;2018;Mayo;31-05-2018;SI;INFORME PASIVOS CMDS MAYO 2018
CM002;02-11-2021;2018;Abril;30-04-2018;SI;INFORME PASIVOS CMDS ABRIL 2018
CM002;02-11-2021;2018;Marzo;30-03-2018;SI;INFORME PASIVOS CMDS MARZO 2018
CM002;02-11-2021;2018;Febrero;28-02-2018;SI;INFORME PASIVOS CMDS FEBRERO 2018.
CM002;02-11-2021;2018;Enero;31-01-2018;SI;INFORME PASIVOS CMDS ENERO 2018.
CM003;16-11-2021;2021;Octubre;12-11-2021;SI;PASIVOS MES DE OCTUBRE 2021
CM003;16-11-2021;2021;Septiembre;14-10-2021;SI;PASIVOS CORPORACION MES DE SEPTIEMBRE
CM003;16-11-2021;2021;Mayo;13-09-2021;SI;INFORME DE PASIVOS CORPORACION ISLA DE MAIPO MES DE MAYO 2021
CM003;16-11-2021;2021;Abril;13-09-2021;SI;INFORME DE PASIVOS CORPORACION ISLA DE MAIPO MES DE ABRIL 2021
CM003;16-11-2021;2021;Marzo;13-09-2021;SI;INFORME DE PASIVOS CORPORACION DE ISLA DE MAIPO MES DE MARZO 2021
CM003;16-11-2021;2021;Febrero;13-09-2021;SI;INFORME DE PASIVOS CORPORACION DE EDUCACION Y SALUD ISLA DE MAIPO MES DE FEBRERO 2021
CM003;16-11-2021;2021;Enero;13-09-2021;SI;INFORME DE PASIVOS DE LA CORPORACION DE SALUD Y EDUCACION DE ISLA DE MAIPO MES DE ENERO 2021
CM003;16-11-2021;2021;Agosto;13-09-2021;SI;INFORME DE PASIVOS CORPORACION ISLA DE MAIPO MES DE AGOSTO 2021
CM003;16-11-2021;2021;Julio;12-09-2021;SI;INFORME DE PASIVOS CORPROACION DE EDUCACION Y SALUD DE ISLA DE MAIPO MES DE JULIO 2021
CM003;16-11-2021;2021;Junio;12-09-2021;SI;INFORME DE PASIVOS DE LA CORPROACION DE EDUCACION Y SALUD DE LA ISLA DE MAIPO JUNIO 2021
CM003;16-11-2021;2021;Junio;30-06-2021;SI;INFORME PASIVOS CORPORACION MUNICIPAL JUNIO 2021
CM003;16-11-2021;2021;Mayo;31-05-2021;SI;INFORME PASIVOS CORPORACION MUNICIPAL MAYO 2021
CM003;16-11-2021;2020;Junio;30-06-2020;SI;PASIVOS CORPORACION MUNICIPAL JUNIO 2020
CM003;16-11-2021;2020;Mayo;31-05-2020;SI;PASIVOS CORPORACION MUNICIPAL MAYO 2020
CM003;16-11-2021;2020;Abril;30-04-2020;SI;PASIVOS CORPORACION MUNICIPAL ABRIL 2020
CM003;16-11-2021;2020;Marzo;31-03-2020;SI;PASIVOS CORPORACION MUNICIPAL MARZO 2020
CM003;16-11-2021;2020;Febrero;29-02-2020;SI;PASIVOS CORPORACION MUNICIPAL FEBRERO 2020
CM003;16-11-2021;2020;Enero;31-01-2020;SI;PASIVOS CORPORACION MUNICIPAL ENERO 2020
CM003;16-11-2021;2017;Julio;31-07-2017;SI;PASIVOS CORPORACION MUNICIPAL JULIO 2017
CM003;16-11-2021;2017;Junio;30-06-2017;SI;PASIVOS CORPORACION MUNICIPAL JUNIO 2017
CM003;16-11-2021;2017;Marzo;31-03-2017;SI;PASIVOS CORPORACION MUNICIPAL MARZO 2017
CM003;16-11-2021;2017;Enero;31-01-2017;SI;PASIVOS CORPORACION MUNICIPAL ENERO 2017
CM003;16-11-2021;2017;Febrero;28-02-2017;SI;PASIVOS CORPORACION MUNICIPAL FEBRERO 2017
CM003;16-11-2021;2017;Abril;30-04-2017;SI;PASIVOS CORPORACION MUNICIPAL ABRIL 2017
CM003;16-11-2021;2017;Noviembre;30-11-2017;SI;PASIVOS CORPORACION MUNICIPAL NOVIEMBRE 2017
CM003;16-11-2021;2017;Mayo;31-05-2017;SI;PASIVOS CORPORACION MUNICIPAL MAYO 2017
CM003;16-11-2021;2017;Agosto;31-08-2017;SI;PASIVOS CORPORACION MUNICIPAL AGOSTO 2017
CM003;16-11-2021;2016;Diciembre;31-12-2016;SI;PASIVOS CORPORACION MUNICIPAL DICIEMBRE 2016
CM003;16-11-2021;2016;Abril;02-05-2016;SI;PASIVOS CORPORACION MUNICIPAL ABRIL 2016
CM003;16-11-2021;2016;Julio;31-07-2016;SI;PASIVOS CORPORACION MUNICIPAL JULIO 2016
CM003;16-11-2021;2016;Octubre;31-10-2016;SI;PASIVOS CORPORACION MUNICIPAL OCTUBRE 2016
CM003;16-11-2021;2016;Agosto;31-08-2016;SI;PASIVOS CORPORACION MUNICIPAL AGOSTO 2016
CM003;16-11-2021;2016;Junio;30-06-2016;SI;PASIVOS CORPORACION MUNICIPAL JUNIO 2016
CM003;16-11-2021;2016;Septiembre;30-09-2016;SI;PASIVOS CORPORACION MUNICIPAL SEPTIEMBRE 2016
CM003;16-11-2021;2016;Noviembre;30-11-2016;SI;PASIVOS CORPORACION MUNICIPAL NOVIEMBRE 2016
CM003;16-11-2021;2018;Diciembre;01-12-2018;SI;PASIVOS CORPORACION MUNICIPAL DICIEMBRE 2018
CM003;16-11-2021;2018;Noviembre;30-11-2018;SI;PASIVOS CORPORACION MUNICIPAL NOVIEMBRE 2018
CM003;16-11-2021;2018;Octubre;31-10-2018;SI;PASIVOS CORPORACION MUNICIPAL OCTUBRE 2018
CM003;16-11-2021;2018;Septiembre;30-09-2018;SI;PASIVOS CORPORACION MUNICIPAL SEPTIEMBRE 2018
CM003;16-11-2021;2018;Abril;30-04-2018;SI;PASIVOS CORPORACION MUNICIPAL ABRIL 2018
CM003;16-11-2021;2018;Julio;31-07-2018;SI;PASIVOS CORPORACION MUNICIPAL JULIO 2018
CM003;16-11-2021;2018;Agosto;30-08-2018;SI;PASIVOS CORPORACION MUNICIPAL AGOSTO 2018
CM003;16-11-2021;2018;Marzo;31-03-2018;SI;PASIVOS CORPORACION MUNICIPAL MARZO 2018
CM003;16-11-2021;2018;Junio;30-06-2018;SI;PASIVOS CORPORACION MUNICIPAL JUNIO 2018
CM003;16-11-2021;2018;Mayo;31-05-2018;SI;PASIVOS CORPORACION MUNICIPAL MAYO 2018
CM003;16-11-2021;2019;Diciembre;31-12-2019;SI;PASIVOS CORPORACION MUNICIPAL DICIEMBRE 2019
CM003;16-11-2021;2019;Noviembre;30-11-2019;SI;PASIVOS CORPORACION MUNICIPAL NOVIEMBRE 2019
CM003;16-11-2021;2019;Octubre;31-10-2019;SI;PASIVOS CORPORACION MUNICIPAL OCTUBRE 2019
CM003;16-11-2021;2019;Septiembre;30-09-2019;SI;PASIVOS CORPORACION MUNICIPAL SEPTIEMBRE 2019
CM003;16-11-2021;2019;Agosto;30-08-2019;SI;PASIVOS CORPORACION MUNICIPAL AGOSTO 2019
CM003;16-11-2021;2019;Julio;31-07-2019;SI;PASIVOS CORPORACION MUNICIPAL JULIO 2019
CM003;16-11-2021;2019;Junio;30-06-2019;SI;PASIVOS CORPORACION MUNICIPAL JUNIO 2019
CM003;16-11-2021;2019;Mayo;31-05-2019;SI;PASIVOS CORPORACION MUNICIPAL MAYO 2019
CM003;16-11-2021;2019;Abril;30-04-2019;SI;PASIVOS CORPORACION MUNICIPAL ABRIL 2019
CM003;16-11-2021;2019;Marzo;31-03-2019;SI;PASIVOS CORPORACION MUNICIPAL MARZO 2019
CM003;16-11-2021;2019;Febrero;31-01-2019;SI;PASIVOS CORPORACION MUNICIPAL FEBRERO 2019
CM003;16-11-2021;2019;Enero;31-01-2019;SI;PASIVOS CORPORACION MUNICIPAL ENERO 2019
CM004;28-09-2021;2017;Diciembre;29-12-2017;SI;PASIVOS EXIGIBLES EDUCACION TERCER TRIMESTRE
CM004;28-09-2021;2017;Septiembre;29-09-2017;SI;PASIVOS EXIGIBLES EDUCACION TERCER TRIMESTRE
CM004;28-09-2021;2017;Junio;30-06-2017;SI;PASIVOS EXIGIBLES EDUCACION SEGUNDO TRIMESTRE
CM004;28-09-2021;2017;Marzo;31-03-2017;SI;PASIVOS EXIGIBLES EDUCACION PRIMER TRIMESTRE
CM004;28-09-2021;2017;Diciembre;29-12-2017;SI;PASIVOS EXIGIBLES SALUD CUARTO TRIMESTRE
CM004;28-09-2021;2017;Septiembre;29-09-2017;SI;PASIVOS EXIGIBLES SALUD TERCER TRIMESTRE
CM004;28-09-2021;2017;Junio;30-06-2017;SI;PASIVOS EXIGIBLES SALUD SEGUNDO TRIMESTRE
CM004;28-09-2021;2017;Marzo;31-03-2017;SI;PASIVOS EXIGIBLES SALUD PRIMER TRIMESTRE
CM004;28-09-2021;2016;Mayo;30-05-2016;SI;
CM004;28-09-2021;2018;Diciembre;31-12-2018;SI;PASIVOS EXIGIBLES SALUD CUARTO TRIMESTRE
CM004;28-09-2021;2018;Septiembre;28-09-2018;SI;PASIVOS EXIGIBLES SALUD TERCER TRIMESTRE
CM004;28-09-2021;2018;Junio;29-06-2018;SI;PASIVOS EXIGIBLES SALUD SEGUNDO TRIMESTRE
CM004;28-09-2021;2018;Marzo;30-03-2018;SI;PASIVOS EXIGIBLES SALUD PRIMER TRIMESTRE
CM004;28-09-2021;2018;Diciembre;31-12-2018;SI;PASIVOS EXIGIBLES EDUCACION CUARTO TRIMESTRE
CM004;28-09-2021;2018;Septiembre;28-09-2018;SI;PASIVOS EXIGIBLES EDUCACION TERCER TRIMESTRE
CM004;28-09-2021;2018;Junio;29-06-2018;SI;PASIVOS EXIGIBLES EDUCACION SEGUNDO TRIMESTRE
CM004;28-09-2021;2018;Marzo;30-03-2018;SI;PASIVOS EXIGIBLES EDUCACION PRIMER TRIMESTRE
CM006;18-11-2021;2016;Diciembre;12-12-2016;SI;PASIVOS DE LA CORPORACION MUNICIPAL DE PUQUELDON EDUCACION
CM006;18-11-2021;2018;Septiembre;30-09-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Agosto;31-08-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Julio;31-07-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Junio;30-06-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Mayo;31-05-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Abril;30-04-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Marzo;31-03-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ENERO A MARZO 2018
CM006;18-11-2021;2018;Febrero;28-02-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ENERO A MARZO 2018
CM006;18-11-2021;2018;Enero;31-01-2018;SI;PASIVOS EDUCACION CORRESPONDIENTE A LOS MESES DE ENERO A MARZO 2018
CM006;18-11-2021;2016;Diciembre;12-12-2016;SI;PASIVOS DE LA CORPORACION MUNICIPAL DE PUQUELDON SALUD
CM006;18-11-2021;2018;Septiembre;30-09-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Agosto;31-08-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Julio;31-07-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE JULIO A SEPTIEMBRE 2018
CM006;18-11-2021;2018;Junio;30-06-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Mayo;31-05-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Abril;30-04-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ABRIL A JUNIO 2018
CM006;18-11-2021;2018;Marzo;31-03-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ENERO A MARZO 2018
CM006;18-11-2021;2018;Febrero;28-02-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ENERO A MARZO 2018
CM006;18-11-2021;2018;Enero;31-01-2018;SI;PASIVOS SALUD CORRESPONDIENTES A LOS MESES DE ENERO A MARZO 2018
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL BIBLIOTECA
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL CASA CENTRAL
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL CEMENTERIO
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL EDUCACION
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL JARDINES
CM008;15-11-2021;2021;Octubre;31-10-2021;SI;PASIVOS CORPORACION MUNICIPAL SALUD
CM008;15-11-2021;2021;Septiembre;30-09-2021;SI;PASIVOS CORPORACION MUNICIPAL EDUCACION
CM008;15-11-2021;2021;Septiembre;30-09-2021;SI;PASIVOS CORPORACION MUNICIPAL JARDINES
CM008;15-11-2021;2021;Septiembre;30-09-2021;SI;PASIVOS CORPORACION MUNICIPAL SALUD
CM008;15-11-2021;2021;Agosto;31-08-2021;SI;PASIVOS CORPORACION MUNICIPAL ADMINISTRACION
CM008;15-11-2021;2021;Agosto;31-08-2021;SI;PASIVOS CORPORACION MUNICIPAL BIBLIOTECAS
CM008;15-11-2021;2021;Agosto;31-08-2021;SI;PASIVOS CORPORACION MUNICIPAL EDUCACION
CM008;15-11-2021;2021;Agosto;31-08-2021;SI;PASIVOS CORPORACION MUNICIPAL JARDINES
CM008;15-11-2021;2021;Agosto;31-08-2021;SI;PASIVOS CORPORACION MUNICIPAL SALUD
