organismo_codigo;fecha_publicacion_ta;nombre;numero_acto;denominacion_acto;activado
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;RESOLUCION CONVOCA A PROCESO DE LICITACION PUBLICA.;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO PRODUCCION EVENTOS SEMINARIO ALTOANDINOS;Si
AB078;12-09-2022;Resolucion;<class 'str'>;LIMPIEZA TRASLADO Y MANTENCION DE BODEGAS GORE;Si
AB078;12-09-2022;Resolucion;<class 'str'>;CAPACITACION DE CALIDAD DE VIDA Y SALUD MENTAL;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIOS DE DISENO DE PIEZAS GRAFICAS GORE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO PRODUCCION EXPOSICION ITINERANTE FREIRINA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO ASEO DEPENDENCIAS GORE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;MANTENCION Y REPARACION EQUIPOS AIRE ACONDICIONADO;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;SERVICIO DE DIFUSION DEL PLAN FREIRINA SUSTENTABLE 2021 2029;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;PERFILES DE CARGOS ROLES Y PROCESOS;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;SERVICIO REMODELACION ACCESO Y OFICINA GOBERNADOR;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;ESTUDIO Y DISENO TERMINAL NO URBANO CHANARAL;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;ESTUDIO Y DISENO TERMINAL NO URBANO CALDERA;Si
AB078;12-09-2022;Resolucion Exenta;<class 'str'>;SERVICIO OBRAS MENORES;Si
AB078;12-09-2022;Resolucion;<class 'str'>;DIPLOMADO PLANIFICACION Y GESTION DE GOBIERNOS TERRITORIALES EN EL NUEVO ESCENARIO DE LA DESCENTRALIZACION;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION CAMION LIMPIA FOSAS ALTO DEL CARMEN;Si
AB078;12-09-2022;Resolucion;<class 'str'>;REPOSICION DE DOS AMBULANCIAS DE LA RED SALUD COMUNA DE ALTO DEL CARMEN;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO DE OBRAS MENORES DEPENDENCIAS DEL GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO DE FUMIGACION EN DEPENDENCIAS DEL SERVICIO ADMINISTRATIVO DEL GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO DE SEGURIDAD PARA DEPENDENCIAS GORE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION CAMION GRUA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION DE 2 CAMIONES ALZA HOMBRES PARA LAS COMUNAS DE CHANARAL Y DIEGO DE ALMAGRO;Si
AB078;12-09-2022;Resolucion;<class 'str'>;REPOSICION VEHICULOS POLICIALES PARA LA III ZONA DE CARABINEROS ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION DE UNA BACHEADORA PARA I. M. DE COPIAPO;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION BARREDORA DE CALLES;Si
AB078;12-09-2022;Resolucion;<class 'str'>;ADQUISICION CAMION MULTIPROPOSITO;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SEGURO AUTOMOTRIZ PARA VEHICULOS GOREATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SUMINISTRO DE AGUA PURIFICADA PARA DEPENDENCIAS GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO TELEFONIA MOVIL INTERNET MOVIL Y GPS PARA GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO DE MANTENCION REPARACION Y SUMINISTRO DE EQUIPOS DE AIRE ACONDICIONADO PARA EL GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO DE SEGURIDAD PARA DEPENDENCIAS DEL GOBIERNO REGIONAL DE ATACAMA;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO SALA CUNA Y JARDIN INFANTIL;Si
AB078;12-09-2022;Resolucion;<class 'str'>;SERVICIO HOSTING;Si
